longer:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
story:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
nearly:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
line:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
further:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
footnote:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
suddenly:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sir:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
added:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
brother:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
stand:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
art:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
nicht:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
toward:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
rose:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
es:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
beyond:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
again:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sie:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
chapter:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
everything:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
comes:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ich:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
table:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
river:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
cut:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
eye:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
past:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
nous:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
natural:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
none:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
il:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
clear:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
american:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
laid:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
cold:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
